Divison,Role,Jan,Feb,March,April
East,Technical Support,800,650,700,2150
East,Telephone,900,850,850,2600
East,Copying,4850,3200,1155,9205
East,Overhead,1250,1250,1250,3750
East,Software,2025,2200,1650,5875
East,Maintenance,1350,1500,1700,4550
East,Supplies,3300,3500,3700,10500
East,Telemarketing,3825,3725,3750,11300
East,Contractors,8900,10315,5250,24465
East,Consultants,6250,6000,6500,18750
East,Rent,8000,8000,8000,24000
East,Miscellaneous,11500,12500,12500,36500
East,Advertising,12250,12250,12750,37250
East,Clerical Support,25000,24000,26390,75390
